Jeg er i fængslet.	I'm at the prison.
Jeg vidste ikke du kunne danse.	I didn't know you could dance.
Han var i dyb gæld og måtte skille sig af med sit hus.	He was deep in debt, and had to part with his house.
Jeg håber at du ikke er alene.	I hope you're not alone.
Hvorfor er jeg mig, og ikke dig?	Why am I me and not you?
De sælger æbler, mandariner, æg og så videre.	They sell apples, mandarines, eggs and so on.
Hvornår kommer du hjem?	When will you return home?
Mary er en rebelsk pige.	Mary is a rebellious girl.
Jeg håber det var en spøg!	I hope it was a prank!
Jeg siger ikke det her for at såre dig, men det er sandheden.	I'm not saying this to hurt you, but it is the truth.
De fleste mennesker baserer deres politiske position på følelser fremfor beviser.	Most people base their political positions on feelings rather than evidence.
Hun gjorde værelset rent.	She cleaned the room.
Jeg går i skole fordi jeg vil lære.	I go to school because I want to learn.
Tom kiggede under bilen for at se om der lå olie på fortovet under bilen.	Tom looked under the car to see if there was any oil on the pavement under the car.
Hvad betyder det?	What does this mean?
Jeg vil gerne have røræg.	I'd like scrambled eggs.
Prinsessen kunne ikke lade være med at le ad ham.	The princess couldn't help laughing at him.
Det er umagen værd.	It is worthwhile.
Efter at jeg havde lavet lektier, fik jeg en snak med mor.	Having done my homework, I had a chat with Mom.
Jeg gik i panik og løb.	I panicked and ran.
Sami er youtuber.	Sami is a YouTuber.
Hvad sker der på arbejdet?	What's going on at work?
Han kastede æblet hen til mig.	He threw me the apple.
Hvad er der i vejen?	What is the matter?
Tom var offer for identitetstyveri.	Tom was the victim of identity theft.
Reglerne gælder for alle.	The rules apply to everyone.
Mit telefonnummer er 98 76 54 32.	My telephone number is 9876-5432.
Alle vognene i toget blev fyldt op ti minutter før afgang.	All the coaches of the train were packed to capacity ten minutes before it started.
Hans fødder sov.	His feet were asleep.
Tom og Mary tror at deres hus er hjemsøgt.	Tom and Mary think their house is haunted.
Hvad har du sagt til Tom?	What did you say to Tom?
Der er et supermassivt sort hul i midten af vores galakse.	There's a supermassive black hole at the center of our galaxy.
Krydderier forbedrer retter.	Spices improve dishes.
I går stod jeg tidlig op.	I got up early yesterday.
Tom sagde at Mary var genert.	Tom said Mary was shy.
Denne fabrik producerer cd-afspillere.	This factory produces CD players.
Vil du have kaffe eller noget?	Do you want some coffee or something?
I morgen er det lørdag, den 5. februar 2011.	Tomorrow is Saturday, February 5th, 2011.
Mary sender mig uopfordrede kærestebreve.	Mary is sending me unsolicited love letters.
Der er næppe nogen fare for jordskælv.	There is hardly any danger of an earthquake.
Æblet er ikke grønt.	The apple is not green.
Hun gør en fjer til fem høns.	She is making a mountain out of a molehill.
Kan du gøre dig forståelig på engelsk?	Can you make yourself understood in English?
Tom må være gladere nu.	Tom must be happier now.
Japanske virksomheder har opbygget et ry for god kvalitet.	Japanese companies have built up a reputation for quality.
Vi lander om 15 minutter.	We'll be landing in 15 minutes.
Hvem kommer med mig?	Who is coming with me?
Skal vi overgive os til disse uhyrer?	Are we going to surrender to these monsters?
Jeg har set ham på fjernsynet, men ikke i virkeligheden.	I have seen him on TV but not in the flesh.
Vi tager afsted når du er klar.	We'll leave as soon as you're ready.
Blåbær indeholder mange antioxidanter.	Blueberries contain a large number of antioxidants.
Tom bliver ved med at komme i problemer.	Tom keeps getting into trouble.
Jeg er stolt af mine sko.	I am proud of my shoes.
Der er få tatarisksprogede hjemmesider på internettet.	There are few sites in the Tatar language on the Internet.
Der er kun én bog på skrivebordet.	There is only one book on the desk.
Det her er Toms motorcykel, tror jeg.	This is Tom's motorcycle, I think.
Katten er under sofaen.	The cat is under the sofa.
Få din røv her tilbage!	Get your butt over here!
Der er ingen fisk i denne dam.	There are no fish in this pond.
Tom sagde at du var kommet.	Tom said you'd come.
Køber du stadigvæk lottokuponer?	Do you still buy lottery tickets?
Jeg er bange for at krydse gaden i Peking da bilisterne der ikke tager hensyn til fodgængerne.	I'm afraid to cross the street in Beijing since drivers don't respect pedestrians there.
Jo flere penge vi har, jo flere ønsker vi.	The more money we have, the more we want.
Tom er den bedste.	Tom is the best.
Det er lettere sagt end gjort.	It's easier said than done.
Det er mørkt udenfor.	It is dark outside.
Tom slukkede ildebranden.	Tom put out the fire.
Fortsæt med at grave.	Continue digging.
Jeg sprang ud af sengen.	I sprang out of bed.
Løs denne tredjegradsligning: x³ + 2x² − x − 2 = 0.	Solve this cubic equation: x³ + 2x² − x − 2 = 0.
Tom greb et brækjern for at bruge det som våben.	Tom grabbed a crowbar to use as a weapon.
De talte kort.	They spoke briefly.
Jeg er gode venner med en masse betjente.	I'm friends with a lot of cops.
Jeg bad ham om at komme og besøge os.	I told him to come visit us.
Den officielle middag fandt sted i Det Hvide Hus.	The official dinner took place at the White House.
Hun har en hund og seks katte.	She has a dog and six cats.
Jeg tror han lyver.	I think he's lying.
Han er altid glad.	He's always happy.
Hans søn er otte år.	His son is eight years old.
Askepot havde to onde stedsøstre.	Cinderella had two evil stepsisters.
Det her er virkelig nemt.	This is real easy.
Tom er en løjser.	Tom is a deadbeat.
Dine drømme er næsten lige så forvrængede som mine mareridt.	Your dreams are almost as twisted as my nightmares.
Jeg havde ikke ventet lang tid før hun dukkede op.	I had not waited long before she turned up.
Tom har stillet for mange spørgsmål.	Tom asked too many questions.
Jeg har købt en hybridbil.	I bought a hybrid.
Toms forudsigelse var korrekt.	Tom's prediction was correct.
Hvor er dine børnebørn?	Where are your grandchildren?
Sover han stadig?	Is he still sleeping?
Du har en fjer i håret.	You have a feather on your hair.
Millie spiser et æble.	Millie is eating an apple.
Apples nye iPhone har ikke 3,5 mm hovedtelefontilslutning.	Apple's new iPhone doesn't have a headphone jack.
Jeg tjener hundrede euro om dagen.	I make 100 euros per day.
Der skete en frygtelig ulykke i går.	An awful accident happened yesterday.
Jeg foretrækker at gå ud frem for at blive hjemme.	I prefer going out to staying home.
Nogle mennesker siger at Japan er et mandsdomineret samfund.	Some people say Japan is a male-dominated society.
Du kan ikke sælge koen og drikke mælken.	You cannot sell the cow and drink the milk.
Hør godt efter hvad jeg siger.	Listen well to what I say.
Min far døde af lungekræft.	My father died of lung cancer.
Han kendte Uyghur, før han kom til Kashgar.	He knew Uyghur before he came to Kashgar.
Mary hader edderkopper.	Mary hates spiders.
Er det en ubåd?	Is that a submarine?
Hr. Tanaka er vores engelsklærer.	Mr Tanaka is our teacher of English.
Der er kun én dag tilbage.	There's just one day left.
Det siges at hun er rig.	It is said that she is rich.
Tom kan ikke arbejde i dag. Han er meget syg.	Tom cannot work today. He is very sick.
Manden kysser kvinden.	The man kisses the woman.
Jeg er enig med Tom.	I agree with Tom.
Det er værd at gentage.	That's worth repeating.
Hvis du ikke opfører dig ordentligt, får du ikke nogen dessert.	If you don't behave yourself, you won't get any dessert.
Tom blev fyret efter at være blevet taget i at spille Tetris på arbejdet.	Tom was fired after being caught playing Tetris at work.
Hvad har I?	What've you got?
Jeg blev født den 22. marts 1962.	I was born on March 22, 1962.
Jeg vil have en pony.	I want a pony.
Hun gik i en pigeskole.	She went to a single-sex school.
Vi har sat ræven til at vogte gæs.	We have put the fox in charge of the hen house.
Tom må være gået den vej.	Tom must've gone that way.
Vil du ikke være så venlig at få al dit ragelse ud af dette værelse?	Please get all of your junk out of this room.
Jeg var ikke i skolen, for jeg var syg.	I wasn't at school, because I was sick.
Der er ikke en kone jeg vil have, men en sexveninde.	It's not a wife that I want, but a sex friend.
Tom er sparsommelig.	Tom is frugal.
Hvad købte hun i butikken?	What did she buy at the shop?
Tom sagde at du talte fransk.	Tom said you spoke French.
Jeg vil gerne have tre stykker sukker i min mælk.	I want three sugars in my milk.
Hun elsker sine børn.	She loves her children.
Betty Page var en pinuppige.	Betty Page was a pin-up girl.
Jeg synes vi skal se på det.	I think we should look into it.
Han er en modig mand.	He is a brave man.
Tom ved hvad vej vinden blæser.	Tom knows which way the wind is blowing.
Jeg er vegetar.	I'm a vegetarian.
Aomori er berømt for sine gode æbler.	Aomori is famous for its good apples.
Hun havde ren samvittighed.	She had a clear conscience.
De tog støvlerne af.	They took their boots off.
Tom har endnu ikke et pas.	Tom doesn't have a passport yet.
Børnene legede i baghaven.	The children were playing in the backyard.
Tom var ved at dø af tørst.	Tom was dying of thirst.
Der var engang en konge som havde tre døtre.	There was once a king who had three daughters.
Jeg vil altid elske dig.	I will always love you.
Jeg kan ikke rejse med fly.	I cannot travel by plane.
Gode kunstnere kopierer, store kunstnere stjæler.	Good artists copy, great artists steal.
Tom taler fransk lige så godt som dig.	Tom speaks French as well as you.
Rumrejser ansås for at være umuligt.	Space travel was thought to be impossible.
Det er billigere at tage bussen.	It is cheaper to go by bus.
Han taber aldrig hovedet.	He never loses his head.
Der er mange sjældne fisk i akvariet.	There are many rare fish at the aquarium.
Hvorfor kommer du ikke ind og venter?	Why don't you come inside and wait?
Jeg spiser et æble.	I am eating an apple.
Tom er ikke hans rigtige navn.	Tom isn't his real name.
Jeg drikker ikke kaffe.	I do not drink coffee.
Du kan komme til skade hvis du ikke følger sikkerhedsforskrifterne.	You may injure yourself if you don't follow safety procedures.
Giraffen kan ikke svømme fordi dens tyngdepunkt ligger så højt at den ville vælte.	The giraffe cannot swim because its centre of gravity is so high that it would topple over.
Jeg ønsker ikke at tage med dig hen for at se fodboldkampen i morgen; jeg ønsker at tage med Paolo for at se en film.	Tomorrow I don't want to come with you to see the soccer game, I want to go with Paolo to see a movie.
Tom er en bonderøv.	Tom is a redneck.
Det ser ud til at han vil vinde førstepræmien.	It appears that he will win first prize.
Der er noget galt med motoren.	Something is wrong with the engine.
Jeg har ingen appetit.	I have no appetite.
Vi bor i Australien.	We live in Australia.
Min bil er tysk.	My car is German.
Det er farligt at telefonere og køre bil på samme tid.	It's dangerous to talk on the phone and drive at the same time.
Vi sad og så fjernsyn da klokken ringede.	We were watching TV when the bell rang.
Tom har solgt sit gamle køleskab til mig.	Tom sold me his old refrigerator.
De fleste af hundene er i live.	Most of the dogs are alive.
Ønsker I hjælp?	Do you want help?
Jeg lærer tysk nu.	I'm learning German now.
Jeg svømmer en gang ugentlig.	I swim once a week.
For nylig er jeg blevet vant til hans måde at tale på.	Recently, I've gotten used to his way of speaking.
Han kan ikke svømme.	He can't swim.
Han havde ønsket hende god jul.	He had wished her happy holidays.
Det begyndte at blæse op.	The wind began to blow.
Har du en franskordbog?	Do you have a French dictionary?
Jeg vil ikke gå i detaljer.	I'm not going into details.
Jeg hader folk, der har følelser.	I hate people who have feelings.
Harer og kaniner ser meget ens ud for mig.	Hares and rabbits look very similar to me.
Jeg hader gulerødder.	I hate carrots.
De er stadig ikke vågnet.	They still haven't woken up.
Giv mig din bue.	Give me your bow.
Jeg vil gerne have eget værelse.	I would like to have a room of my own.
Klaveret stemte ikke; det lød utroligt dårligt.	The piano was out of tune; it sounded very bad.
Tom voksede op i Tyskland, men bor nu i USA.	Tom grew up in Germany, but he now lives in the United States.
Det vil snart regne.	It is going to rain soon.
Det øser ned.	It is raining heavily.
Sandheden er at jeg er en mand i en mandekrop.	The truth is I'm a man in a man's body.
Han så aldrig sin søster igen.	He never saw his sister again.
Ved du hvor højt tv-tårnet er?	Do you know, how high is the television tower?
Der kommer til at være et problem.	There'll be a problem.
Sværger du på at sige sandheden, hele sandheden, og intet andet end sandheden?	Do you swear to tell the truth, the whole truth, and nothing but the truth?
Jeg har en lav puls.	My pulse is slow.
Jeg kunne ikke længere stå.	I couldn't stand any more.
Hun arbejder som stripper.	She works as a stripper.
Tom ønskede at se Marys værelse.	Tom wanted to see Mary's room.
Kilten er ikke en nederdel.	The kilt is not a skirt.
Italien er et meget smukt land.	Italy is a very beautiful country.
Min mor tager en lur hver eftermiddag.	My mother takes a nap every afternoon.
Vær god mod dem der hader dig.	Do good to those who hate you.
Tom er juveler.	Tom is a jeweller.
Hvor ofte vasker du op?	How often do you wash the dishes?
Hun gik tyve mil om dagen.	She walked twenty miles a day.
Hvorfor er de ikke bekymret?	Why aren't they worried?
Han betalte kun ti dollars for skjorten.	He only paid ten dollars for that shirt.
Mange tak for blomsterne.	Thank you for the flowers.
Forsøg ikke at narre døden to gange på én dag.	Don't try to trick death twice in one day.
Lad os dele dusøren fifty-fifty.	Let's split the reward fifty-fifty.
Tom kom hjem.	Tom got home.
Tom er en berømt bollywoodskuespiller.	Tom is a famous Bollywood actor.
Min onkel spiller guitar.	My uncle plays guitar.
Taler han engelsk?	Does he speak English?
Jeg skulle aldrig have kysset Toms kæreste.	I never should've kissed Tom's girlfriend.
Jeg tror på mirakler.	I believe in miracles.
Jeg ville have gjort det selv, hvis jeg havde haft tid.	I'd have done that myself if I'd had the time.
Hvor savede du dem?	Where did you saw them?
De smilede.	They smiled.
Tom er meget snakkesalig.	Tom is very talkative.
Hvorfor blandede du dig i et anliggende som ikke vedrørte dig overhovedet?	Why did you interfere in an affair that did not concern you at all?
Tom havde intet at læse.	Tom had nothing to read.
Det er min nabos hund.	That's my neighbor's dog.
Folk fyldtes med skræk.	People were filled with fright.
Hvorfor arbejder du?	Why do you work?
Et helt tal er naturligt, hvis og kun hvis det er større end eller lig med 0.	An integer is natural if and only if it is greater or equal to 0.
Jeg bliver nødt til at tale med ham.	I've got to speak to him.
Hun græd ikke.	She did not cry.
Af alle måneder holder jeg mest af maj.	I like May the best of all the months.
Hun sagde straks ja.	She agreed right away.
Hvor ligger den danske ambassade?	Where is the Danish embassy?
Sami kastede op i toilettet.	Sami threw up in the toilet.
Jeg elsker dig, men ikke på den måde.	I love you, but not that way.
Drengen der ror båden er en af mine venner.	The boy rowing the boat is a friend of mine.
Jeg kan ikke finde printeren.	I can't find the printer.
Jeg nåede ikke mit tog.	I've missed my train.
Tom er også døv.	Tom is also deaf.
Han tog en dyb indånding.	He took a deep breath.
Tom kan godt lide at vise sig.	Tom likes to show off.
Tom købte et par gummistøvler til sig selv.	Tom bought himself a pair of rubber boots.
Tom klatrede op ad stigen og plukkede et æble fra træet.	Tom climbed up the ladder and picked an apple from the tree.
